,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
4120,Port Valley,0,0,0,,"Adventure, Indie","Single-player, Steam Achievements, Captions available",,2021,The (not so) classic Point &amp; Click adventure where perspective changes everything! Witness Port Valley's Election Day from 3 points of view and find out what's really going on in this bizarre town.,0,WrongPixel,904450
4121,Grompula,0,0,0,0,"Action, Free to Play, Indie",Single-player,,"Sep 6, 2018","Grompula is a high octane wave based survival game. Fight through endless waves of Grompuloids to save the Glorkon race, and banish Grompula back to limbo, where he belongs. With tons of weapons, items, and abilities at your disposal, you might just be able to claim back what's rightfully yours.",0,Evan Hecht,904500
4122,ARTIFICIAL,0,0,0,,"Action, Adventure, Indie","Single-player, Full controller support",,Q3 2021,ARTIFICIAL is a first-person physics based puzzle game situated in an underground colony on asteroid 2031 XT.,0,Ondrej Angelovic,904510
4123,Red Embrace: Hollywood,6,101,28,1999,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud",,"Aug 31, 2019","1996?€?Los Angeles, CA. A young newcomer is turned into a vampire and thrust into the dark underworld of society, forced to sink or swim. You are that newcomer.",17,Argent Games,904520
4124,Erotic Jigsaw Challenge Vol 2,0,5,0,99,"Sexual Content, Nudity, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements",,"Aug 7, 2018",Answer the call and take on 20 all new sexy jigsaw puzzles! Photo Gallery unlocks with every win! New Steam Achievements!,0,BarelyEntertainment,904530
4125,Indiana Jones?? and the Infernal Machine???,8,91,14,599,"Action, Adventure","Single-player, Partial Controller Support, Steam Cloud",,"Nov 16, 2018","The year is 1947. The Nazis have been crushed, the Cold War has begun and Soviet agents are sniffing around the ruins of the fabled Tower of Babel. What are they up to? The CIA recruits renowned archeologist and adventurer, Dr. Henry &quot;Indiana&quot; Jones, to find out.",0,LucasArts,904540
4126,Robot Chase,0,1,0,99,"Adventure, Casual, Indie","Single-player, Steam Achievements",,"Aug 1, 2018","Robot Chase is a runner game about robot that has abandoned all vain attempts to correct the work of the factory and is forced to flee from the eraser laser, skipping various traps and obstacles.",0,Garage Games,904550
4127,TOK,8,60,6,99,"Casual, Indie","Single-player, Steam Achievements",,"Nov 15, 2018",Tok is a game where you will have to solve a puzzle by connecting all dots with lines.,0,Crew Lab,904570
4128,Arcade LA Deadzone,0,0,0,,"Action, Adventure","Multi-player, Online PvP, Co-op, Online Co-op",,"Feb 27, 2019",SUPPORTS TRADITIONAL ARCADE INDIVIDUAL 'POD' SETUPS AS WELL AS FREE-ROAM BACKPACK PC.,0,"Castle Steps LLC, BOT Jungle Productions",904590
4129,Small Sister,5,5,7,199,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud",,"Aug 15, 2018",Small Sister is a game about a contest: &quot;living in a house with strangers&quot;. The goal is to gain as many points as you can by interacting with other contestants and to be the winner at the end.,0,Proximity Games,904600
4130,Dogs of War: Kill to Survive,0,1,6,499,"Action, Simulation, Early Access",Single-player,,"Aug 24, 2018","Dogs of War: Kill to Survive - A game about the war, where you will play as an ordinary soldier. You will face all the horrors of the war and feel how it is to fight in a modern war.",0,Star Tactics Team,903670
4131,conNEcT01,0,1,0,99,Casual,"Single-player, Steam Achievements, Steam Cloud",,"Jul 27, 2018","AI was built for replacing human, but as the time goes on, she was abandoned in abandoned district. Then how will she face to the life day by day?",0,kjkjkAIStudio,903680
4132,The Misadventures of Denniz & Diana,0,0,0,99,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together",,"Feb 28, 2019","The Siblings Denniz and Diana have to traverse a multitude of areas by jumping, sliding, climbing and fighting through them in this 2D-Jump'n'Run. Meanwhile, they encounter a... Mechanic-Pirate? Well, they have to stop him, whatever his plan actually is.",0,Studio Merkas,903700
4133,Axiom Soccer,0,0,0,0,"Action, Casual, Free to Play, Indie, Racing, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together",,"Apr 11, 2019","Axiom Soccer is a high speed evolution of vehicular soccer combining fast-paced driving with tactical shooting mechanics for a new soccer experience. Inspired by real world ball games, go it alone or team up with friends and blast through divisions to pursue Axiom Soccer championship glory.",0,Earthbound Games Ltd.,903730
4134,Kings,0,3,6,99,"Casual, Indie, Strategy",Single-player,,"Nov 2, 2018","Are you a good king or a corrupt king? As a king you can choose to take matters into your own hands and become a leader, or you can choose to become a fanatic of the church and let your people go hungry!",0,RewindApp,903740
4135,BinaryBotsVR,0,0,0,0,"Adventure, Free to Play",Single-player,,"Nov 22, 2018","Binary VR is a virtual reality experience of HEX WORLD, Binary leaves in HEX WORLD with his friend DIMM.",0,cbinfosystems,903760
