,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
351,Cubito Mayhem,0,0,0,,"Action, Early Access",Single-player,,"Jun 19, 2019","Cubito Mayhem is an top down 2D twin stick shooter with rogue-like and bullet hell elements that uses dense, chaotic and action packed levels and bossfights to tell the story of a square shaped citizen that refused to follow the traditions and guidelines of the society it is a part of.",0,Heizhu Games,1073740
352,XANARTHRAXIA,7,16,2,99,"Casual, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards",,"Nov 16, 2019","Stalwart knight, align yourself for battle! Synchronize the energetic patterns within XANARTHRAXIA's ancient glyphs and cleanse the land of evil in this bite-sized, casually competitive, RPG clicker.",0,BrainChocolate,1073770
353,The Astrolarix,0,0,0,299,"Adventure, Casual, Indie","Single-player, Partial Controller Support, Steam Cloud",,"May 16, 2019","Survive in the Astrolarix! A mysterious spacecraft with an unknown destination. This is an isometric adventure game with elements of survival, overcoming obstacles and find the safest route to progress in the story.",0,Artificer Creator,1073790
354,Shapik: the moon quest,7,39,1,799,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards",,"Apr 22, 2020","SHAPIK: The Moon Quest is a touching and atmospheric quest, the story of which unfolds in a mysterious world after a nuclear war.",0,"Paul Podberezko, Daniil Naletov, Alexander Ahura, Haim Schnitzer",1073810
355,"Love, Sam",8,98,8,299,"Adventure, Indie",Single-player,,"Jun 4, 2019","Alone in your room, you see a diary sitting on your desk. It wants to tell you a story: a story about a high school crush. A story about small town romance. A story about how everyone is against you and nobody will ever love you again.",0,Korean Linguistics Lab,1073820
356,Nocked! True Tales of Robin Hood,7,35,3,1999,"Adventure, Indie, RPG, Strategy",Single-player,,"Jul 16, 2019","You are Robin Hood! Forge your destiny and fight to liberate Nottingham in this epic story-driven RPG blending interactive fiction, resource management, and base building set within a lushly-illustrated Sherwood Forest.",0,Andrew G. Schneider,1073840
357,Idle Guardians,0,0,0,0,"Free to Play, RPG","Single-player, In-App Purchases",,"May 10, 2019","Recruit heroes and idle your way to glory! Fight in dungeons, defeat powerful raid bosses and find legendary items!",0,Blade Fire Studios,1073860
358,Self Shot,7,20,2,299,"Action, Adventure, Casual, Indie",Single-player,,"Jun 1, 2019","Teenager Ren, able to dive into the subconscious, penetrates into the depths of memory where she is waiting for childhood fears and complexes, with which she has to cope to reach the bottom of consciousness",0,Vadd games,1073870
359,Dragon Fight VR,0,0,0,0,"Action, Free to Play",Single-player,,"Mar 5, 2020","We created an internal experiment to see how a short, single level, visceral dragon fight could work in VR. We think it came out pretty cool! So we released it for free. Please enjoy.",0,"The Acceleration Agency, FarCade",1073890
360,Brukel,7,40,2,499,Indie,"Single-player, Steam Achievements, Full controller support, Captions available",,"Nov 3, 2019","A first-person exploration game based on the actual memories of a 92-year-old grandmother, told to players in her own voice. Take pictures of what remains of her abandoned childhood home to uncover the dark, traumatic events that she had to fight through as a teenage girl.",0,Bob De Schutter,1073900
361,Exemption,0,0,1,499,"Adventure, Indie, RPG","Single-player, Partial Controller Support",,"May 30, 2019",Exemption is a Souls inspired action RPG with a rogue like touch. The time periods may change but one thing does not - each journey is unique in it's own way!,0,The Impatient Gaming,1073960
362,The New Universes: ~ Eine Neue Reise Beginnt ~ Chapter 1,0,0,0,799,"Adventure, Indie, RPG, Early Access","Single-player, Steam Cloud",,"Nov 17, 2019","A Visual Novel where a young woman learns about her life in a war-torn, hostile galaxy.",0,"TNU Project Council, LastNexus Studios",1073990
363,Melon Journey 2,0,0,0,,"Adventure, Casual","Single-player, Steam Achievements, Full controller support",,??? COMING 2021 ???,Melon Journey 2 is a story-exploration game about revisiting a town full of adorable animals with eccentric personalities. Yet under its cute and nostalgic surface lies a dark tale of crime and corruption...,0,Froach Club,1074030
364,The Red Prison,0,0,0,0,"RPG, Early Access",Single-player,,"May 20, 2019",The Red Prison is a roguelike based on the OGL-content of the SRD for 5th edition Dungeons &amp; Dragons.,0,Patrick Wilson,1074040
365,SENRAN KAGURA Peach Ball,8,115,21,2999,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud",,"Aug 14, 2019","SENRAN KAGURA has transformed into a wild pinball game! Bounce your ball along the curves of a crazy theme park, starring a ninja girl who thinks she's an animal! (Yep, you heard right!) Build up points to unlock special challenges, which showcase the girls' charms!",17,Tamsoft,1074080
366,Little Savior / ?????????????????????,0,1,1,999,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together",,"May 14, 2019",Little Savior is a real-time battle action game in which many units fight with each other. The player operates directly as one of the units to fight.,0,Sorceryforce,1074150
367,Mermaid Colony,5,7,8,999,"Indie, Simulation, Strategy","Single-player, Steam Achievements",,"Sep 11, 2019",Mermaid Colony is an atmospheric survival strategy game. You're granted godlike powers to guide the mermaids in a battle between light and darkness.,0,M. Hanka,1073210
368,Teeth Brushing Simulator,8,48,4,99,"Action, Simulation",Single-player,,"May 11, 2019",Teeth Brushing Simulator,18,Evil Dentists,1073220
369,Hentai Babes - Waifu,0,2,1,199,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements",,"Jun 16, 2019","Clothed to Nude adult puzzle game, one hand playable!",0,ZangGames,1073230
370,Spy Tactics,0,6,2,299,"Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Stats",,"Jul 12, 2019",Spy Tactics is a mix of puzzle and turn-based strategy about fascinating adventures of a spy.,0,Evgenii Gubanov,1073280
371,Hentai Zodiac Puzzle,7,24,3,99,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud",,"May 10, 2019",Hentai Zodiac Puzzle is a simple 'spot the difference' strip game. 12 pretty girls with different fetishes are waiting for you. No time limit. Enjoy the game. Choose your zodiac girl!,0,Zodiacus Games,1073310
372,Meteorfall: Krumit's Tale,8,198,5,1499,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",,"Jul 22, 2020","Krumit's Tale, the second game in the Meteorfall universe, is a new take on the deckbuilding roguelike genre. Use your cards to clear dungeons, then upgrade your deck with new cards and perks to press forward. The fate of the world is in your hands.",0,Slothwerks,1073320
373,Inori's House,0,2,1,99,"Casual, Indie","Single-player, Captions available",,"Jun 17, 2019","There?€?s a strange house at the corner of your town, and people from your town have been disappearing. It?€?s time to figure out the secrets and wonders at Inori?€?s House.",0,Casting Couch Games,1073370
374,yellowtoy,0,0,0,99,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements",,"May 19, 2019","After telling the soul of a abandoned toy to have a new body, in the toy world, through various efforts to obtain various props and smoothly left the toy world!",0,LIKE,1073380
375,Aircar,0,0,0,0,"Casual, Free to Play, Indie","Single-player, Full controller support",,"Aug 9, 2019",A simple immersive flying game built for VR. Pilot an aircar through a futuristic cityscape.,0,"Giant Form Entertainment, LLC",1073390
376,Tiger Tank 59 ??? Winter Assault,0,0,0,99,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards",,"May 7, 2019","In this game , Players need to control their tanks, through the enemy lines, break the enemy base, or defeat the enemy tanks, open the way for the Allied offensive.",0,TigerQiuQiu,1073400
377,Boxing Champs,0,6,3,399,"Action, Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together",,"May 29, 2019","Step into the ring and become a boxing champ! Move up the world rankings, remain undefeated and unify all the titles to become the undisputed champion of the world. Boxing Champs a fast paced simulation / arcade boxing game.",0,Raz Games,1073410
378,An Update is Pending,0,0,0,,"Action, Indie, RPG, Early Access",Single-player,,Feb 2020,"A game about updating the game! Collect bits and either spend them to help you beat the main game, or save up for upgrades such as better graphics, achievements, better music, and unlocking more upgrades!",0,Juicy Pulp Games,1073450
379,Monster X Monster,7,15,3,299,"Adventure, Indie, RPG, Strategy, Early Access","Single-player, Steam Achievements",,"May 17, 2019",This is a Rogue-like RPG card game. You team up 4 monsters to escape the castle defeating all the heroes. Monsters need freedom!,0,VanGame,1073490
380,????????????,0,0,0,0,"Adventure, Casual, Indie, RPG, Strategy","Multi-player, MMO, PvP, Online PvP",,Nov 2019,?€??????????????€??????€???????????????????????€??????????????????????€??????€??€???????????€????????????50???????????????????????€????????????????????????????????????????????????????€??€???????????????????????????????????????????????????????????????????????€?,0,???????????????????????€????????????,1073600
381,Miss Cat,0,4,0,99,"Adventure, Casual, Indie, RPG, Early Access",Single-player,,"May 17, 2019",Miss Cat is an independent adventure puzzle-solving game in which players control Monica to find the hidden truth in an unknown world.,0,COOPI  studio,1073610
382,Not So Heart,0,0,0,499,Indie,"Single-player, Steam Achievements, Full controller support",,"Jul 11, 2019",Not So Heart is a retro hardcore platformer. But it has a secret. Don't try to fix anything.,0,Fewjix,1073620
383,JetX Space Edition,0,0,0,499,"Action, Casual, Racing","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Leaderboards",,"May 30, 2019","JetX Space edition is out of this world! The new ambitious arena-shooter game features arcade racing, epic arena battles, and a rich variety of game modes. Race, compete, destroy!",0,Singularity Lab,1073640
384,Soviet Jump Game,8,115,3,0,"Action, Casual, Free to Play, Indie, Massively Multiplayer","Multi-player, PvP, Online PvP, Full controller support, In-App Purchases",,"Jul 16, 2020","Snag powerups, collect coins, and battle against 49 other comrades in this 2D sidescrolling free-for-all. Together, we are one--but will you be the one who is held above all others?",0,Fantastic Passion,1072710
385,smysl 2 gravity,0,1,0,99,"Casual, Indie",Single-player,,"Aug 22, 2019","smysl 2 gravity, is a mind bending 2D puzzle game where your goal is to reach the red flag. To do this, you must move around your character as well as altering the direction of gravity to access areas previously unattainable.",0,lastgame,1072720
386,Nick Logic for Kids,0,2,0,99,"Casual, Indie, Strategy",Single-player,,"May 19, 2019",Puzzle for children Snap the right blocks to build Nick's path. Help Nick cross the screen to get the ham.,0,Orlando Santos de Oliveira,1072760
387,Nekodeito,0,0,0,,"Casual, Indie, Simulation",Single-player,,One Day,"A story about a catgirl who moves into your home and eats all your food! Go on dates, hold hands and more!",0,NoGooD,1072790
388,Ufflegrim,0,7,0,799,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud",,"Apr 6, 2020","Ufflegrim is a traditional roguelike with card-based, creature summoning combat. Every enemy is not only a challenge, but also a chance to capture unique allies and abilities for your deck. Take on the pilgrimage and travel to the bottom of the 100 floors.",0,Corpse King Games,1072800
389,Star Shift,0,0,0,,"Adventure, Indie, RPG, Strategy","Single-player, Partial Controller Support",,TBA 2021,"The year is 2357. Humans have explored the stars and colonized many worlds under the authority of the Earth Systems Alliance (ESA), a government controlled by powerful interstellar organizations. Embroiled in a civil war, the fabric of reality is not what it seems.",0,Psychronic Game Studios,1072840
390,RifleRange,0,0,1,99,"Action, Indie","Single-player, Steam Achievements, Stats",,"May 14, 2019","This game is a game that can only shoot rifle range targets. No Enemy, No skill tree, No Level. May be training for your aim. There is a score ranking so you can see who earned the most points. Look at the sample video for details.",0,Naie.Sorachi,1072850
391,Real Scary,7,20,2,99,"Adventure, Casual, Indie, Simulation",Single-player,,"May 11, 2019",Psychological horror perfect for a late night of gaming in the dark with your headphones in.,0,Chris Antoni,1072860
392,Random War,0,6,0,99,"Action, Casual, Indie","Single-player, Steam Achievements",,"May 31, 2019","Control a customizable tank in a endless run, trying to get the highest rank. Random Arena Mode - With each battle an arena full of enemies will be created. Surrounded Mode - Classic mode with waves of enemies. Each level, more enemies.",0,Alexandre Yoshinaga,1072870
393,Oneironaut,0,0,0,0,"Casual, Free to Play, Indie",Single-player,,"Sep 18, 2019",Oneironaut immerses you into the power of imagination through lucid dreaming.,0,"Peter De Jong, Albert Wang",1072890
394,Drill Man Rumble,0,0,0,,"Action, Casual, Indie, Early Access","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Stats, Includes level editor, Remote Play Together",,Sometime In The Near Future,"Drill Man Rumble is a hand drawn fast paced action game with single and multiplayer features. Take on the legend of Drill Mountain in the campaign. Drill your friends in danger-filled arenas, ride mechanical Drill-agons, and battle strangers for riches in the endless Bounty Mode.",0,Hunter Studio,1072910
395,HomeWork Is Crazy / ????????????,0,2,3,799,"Casual, Indie","Single-player, Steam Cloud",,"Jun 13, 2019","?€?Homework Is Crazy?€?is a game that simulates Chinese primary school students doing their homework. Here you will become a new generation primary school student, and face the mountain of tons of homework. This may be the biggest challenge you have ever encountered!",0,?????????,1072920
396,Blood Magic,0,0,0,0,"Action, Indie",Single-player,,"Aug 22, 2019","Blood Magic is a 2D Isometric Dungeon Crawler where you use your own health to cast spells to defeat enemies while you search for the missing pages of your spell book to increase your power. Against the onslaught of monstrous enemies, can you survive?",0,Drop Table Developers,1072930
397,In the beginning,0,0,1,999,"Indie, Simulation, Strategy, Early Access",Single-player,,"Sep 7, 2019",Do you want to become a God? Welcome to the coolest social simulator in the world! Here you can create your very own people and uplift them form humble cavemen to an adnvanced civilization!,0,Solare Games,1073020
398,Retro Pixel Racers,0,0,1,199,Racing,"Single-player, Steam Achievements, Partial Controller Support",,"May 30, 2019",Retro Pixel Racers is a fun top-down arcade racing game with a retro style graphics where you control of little cars racing over exciting tracks. Start your engines and prepare for the craziest and most addictive racing game ever. Fast-paced racing game with a fresh interpretation of the 16-bit style.,0,Josep Monzonis Hernandez,1073040
399,Happy Geography Fun,0,2,1,299,"Casual, Early Access",Single-player,,"Feb 14, 2020",Happy Geography Fun is an exciting game in which you can test your geography knowledge.,0,Cirodam,1073050
400,Lonely Skies,0,0,0,0,"Action, Adventure, Indie","Single-player, Full controller support",,"May 10, 2019","Pilot your rickety airship along a dangerous journey in a 2D vehicle adventure game, stealing parts and fuel to keep your ship running long enough to reach safety.",0,Suspension Games,1073060
401,TUTUTUTU - Tea party,0,1,1,1599,"Action, Indie","Single-player, Steam Achievements, Steam Cloud",,"Aug 14, 2019",Rhythm game about a tea in a train!,0,Marginal act,1073080
402,Vrerience,0,0,0,,Utilities,In-App Purchases,,"Jul 13, 2019",Vrerience is a continuously expanding library of therapeutic VR-experiences and training programs meant to aide professional therapists in treating their clients using virtual reality.,0,"Rick Evenhuis, Lieke Dodkin, Fernando de Cea",1073090
403,Speedrun Squad,0,4,0,99,"Adventure, Casual, Indie",Single-player,,"May 14, 2019","Choose a character, select a world, and GO! The goal is simple: complete the levels as fast as you can. While mistakes are unlimited, they only slow down your race to the end. Precise platformer gameplay combined with the different abilities of each player makes each playthrough different.",0,Isaac White,1073100
404,Castra,0,1,1,499,"Action, Casual, Indie, Simulation, Strategy, Early Access","Single-player, Steam Achievements",,"Feb 20, 2020","Castra is a strategic game about total conquest. You will decide what units to build, where to attack, and how to defend your territory. If you like grand strategy, this game was made for you.",0,Red Fox Studios,1073140
405,BOT-NET,0,0,0,,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Remote Play Together",,FALL 2019,BOT-NET is a VR FPS that allows for HMDs and Mobile devices to play together! We solve the bottleneck of friends sitting around on the couch waiting for the latest &quot;VR experience&quot; to finish up. BOT-NET brings your friends off that couch and into the battle with you!,0,"Calvin Labs, Inc.",1072250
406,Sos i Pie Sos 2 kycb edition,6,8,3,99,"Action, Casual, Indie","Single-player, Steam Achievements",,"May 9, 2019",Sos i pie sos 2 kycb edition - simple runner game. Now you play as a dog and your goal collect bones.,0,Easy game,1072270
407,Cossanox,0,2,0,199,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together",,"May 17, 2019","Embark on a journey through space and time, battling a cosmic menace to save the Universe. Using the all powerful Cossanox this alien seeks to reshape the known universe in order to spread and consume. You and your crew must put an end to the threat and recover the Cossanox.",0,Steven Ragan,1072280
408,Echo Generation,0,0,0,,"Adventure, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud",,2021,Echo Generation is a turn-based adventure game about a gang of kids investigating supernatural occurrences while battling monsters and mechs to save their small town.,0,Cococucumber,1072300
409,Kurr Snaga,0,5,3,1199,"Action, Indie, RPG",Single-player,,"May 10, 2019",Kurr Snaga is a fast-paced first person melee brawler where players act as the last Orc left from their tribe taking revenge on the evil humans.,0,NoTime Studios,1072310
410,VR takibi ~bonefire simulator~,0,0,0,1999,"Indie, Simulation",Single-player,,"Sep 20, 2019","It is crazy to fire at home! ?Don't worry, a VR simulator to enjoy bonfire at home will appear on store.We pursued a burning process of wood thoroughly, and were particular about chopsticks, set fire, catching fire, and great detail outdoor goods as well.Please enjoy the leisurely change of time!",0,"Futo, LLC",1072340
411,America's Retribution Term 2,0,5,0,599,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support",,"May 9, 2019","He's back! The American President is locked and loaded for his second term. Battle your way through the city streets of Chicago to the jungles of Africa fighting terrorists, fascists, fake News media and evil globalists.",0,Ed Findlay,1072350
412,BirdGut,0,0,0,0,"Adventure, Casual, Free to Play, Indie","Single-player, Steam Achievements",,"May 9, 2019","BirdGut is a hand-drawn 2d puzzle-platformer from the perspective of an outcast bee who gets eaten by a bird, and discovers that the bird's internal organs are not organs at all, but facilities in which the consumed insects are brainwashed and enslaved. Experience this bizarre one-man project for yourself.",0,Micah Boursier,1072390
413,Outrider Mako,0,0,0,,"Action, Adventure, Indie","Single-player, Full controller support",,When it's done,"Take on the role of Mako on her quest to seek out and subsequently deliver her, uh, deliverables in this top-down view 2D action game. Jump on top of your enemies and slime them with goo to stop them in their tracks! Get those deliverables delivered!",0,Asamado Games,1072400
414,DRAGON QUEST BUILDERS??? 2,8,786,113,5999,"Action, Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on Tablet",,"Dec 10, 2019","DRAGON QUEST BUILDERS??? 2 is a block-building RPG set in a fantasy land threatened by an evil cult. Explore, battle, build and harvest in the charming single-player campaign or build big projects in the online sandbox mode for up to 4-players.",0,"Square Enix, KOEI TECMO GAMES CO., LTD.",1072420
415,iTube HD video downloader,0,4,2,2999,Utilities,Single-player,,"May 23, 2019","iTube HD Video Downloader provides you the best solution for one-click downloading videos from more than 10,000 sites. Even it can download videos to the specified video or audio format.",0,Aimersoft Studio,1072450
416,The Fisherman - Fishing Planet,5,115,76,3999,"Action, Adventure, Casual, Free to Play, Massively Multiplayer, Simulation, Sports, Strategy","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud",,"Oct 17, 2019","The Fisherman ?€? Fishing Planet is for all fans of nature and sport fishing! This simulation, made by and for fishing enthusiasts, recreates all the finer details of the art of fishing with unrivalled authenticity.",0,Fishing Planet LLC,1072480
417,KiKiMiMi/ ??????????????????,0,0,0,99,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud",,"Jul 11, 2019",??????????????????????€???????????????????€?????????????????????????????????????????????€??????????????????????????????????????????14????????€???????€???????????????????,0,LIKEMAD_GAMES/?????????????????????,1072490
418,AO Tennis 2,5,114,55,4999,Sports,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play Together",,"Jan 9, 2020","AO Tennis 2 is the only tennis experience designed for and by its community. Create your own players, stadiums and legendary matches. Enter the competition to reach the top of world tennis in Career Mode.",0,Big Ant Studios,1072500
419,Sheaf - Together EP,0,0,0,0,Indie,"Single-player, Partial Controller Support",,"Jul 22, 2019","Enter virtual reality to listen to the debut EP ?€?Together?€? of synthwave producer Sheaf. No gameplay involved -- just sit back, relax, and enjoy the music while you drive through a retro low poly world.",0,Stryde Games,1072530
420,Brassheart,0,0,0,,"Adventure, Indie",Single-player,,2020,"Brassheart is an adventure game set in the alternative 1920s, inspired by dieselpunk and the classics of the genre. In this world, you play as Pola, a spunky pilot. She follows the clues that may provide a way to save her father kidnapped by his own invention, a rebellious supermachine, Valkiria.",0,Hexy Studio,1072550
421,Game Of Puzzles: Dragons,7,14,2,99,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud",,"May 9, 2019",A puzzle game in which you have to assemble a single image from individual pieces.,0,Snkl Studio,1072590
422,Until September,0,0,0,899,Indie,Single-player,,"Sep 17, 2020","Benvenuti a Pembroke. Preparatevi a un lungo soggiorno, perch?? sembra che non potrete lasciare questa cittadina prima di aver risolto il suo mistero. Riuscirete a scoprire la verit?? prima che arrivi settembre?",0,Crosseyed,1072600
423,AvoCuddle,7,10,1,999,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Jul 12, 2019","Brought to you by a sole Syrian developer, AvoCuddle tells a tale of true love! An emotional action adventure through the galaxy searching and seeking to free your soul mate. Explore beautiful and dangerous planets, fight it's special creature and solve puzzles ,through a visually stunning game.",0,Ramez Al Tabbaa,1072610
424,Weakless,5,9,7,1499,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support",,"Mar 4, 2020","Weakless is a beautiful, puzzle-adventure game with stunning organic environments, filled with curious life forms and a bioluminescent glow. Play as two Weavelings ?€? carefree, wooden creatures ?€? one of which is deaf, the other blind. Switch between the two, solve unique puzzles and save their world!",0,Punk Notion,1072620
425,Loco Parentis VR,0,1,6,2499,"Action, Adventure, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,"Mar 13, 2020","Co-op horror game, where you have to help a little girl find her mother and figure out what is really happening in your house and who your neighbors really are.",0,Fair Games Studio,1072660
426,Idunn Gurdians,0,1,0,99,"Action, Adventure, Casual, Indie, RPG, Early Access",Single-player,,"Aug 22, 2019",&quot;The Space War of the IDUNN Guardians over time and space ... what is the ending?,0,Widebrain Inc.,1071760
427,Princess's Peak,0,4,2,99,Casual,"Single-player, Steam Achievements, Steam Cloud",,"Jun 12, 2019","This is a puzzle game that incorporates guessing to get characters and interact with the characters. According to the remaining number of cards in the upper left corner, guess the card that your opponent will play and beat them to get the character tokens. Once all the tokens are obtained, the character will be unlocked.",0,"Alircari, Gemini Stars Games",1071770
428,Caterpillar Royale,0,0,0,499,"Action, Casual","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Partial Controller Support, Remote Play Together",,"May 8, 2019",It's the caterpillars' merciless growth competition! Defeat everyone else and be the last caterpillar standing!,0,"SIMS Co., Ltd.",1071800
429,Biped,8,571,42,1499,"Action, Adventure, Casual, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play Together",,"Mar 26, 2020",Biped is a coop action adventure game with a strong focus on moment-to-moment collaboration between 2 players.,0,NEXT Studios,1071870
430,New Yankee in King Arthur's Court 4,0,0,0,699,"Adventure, Casual, Indie","Single-player, Steam Cloud",,"Apr 26, 2019","Set off on a time-tripping adventure to the medieval past to face fantastical foes and solve a mystery of legends and magic! Epic in scope, New Yankee in King Arthur's Court 4 is Sir John's biggest, boldest adventure yet!",0,Yustas Game Studio,1071880
431,New Yankee in King Arthur's Court 5,0,0,0,699,"Adventure, Casual, Indie","Single-player, Steam Cloud",,"May 8, 2019","Return to a world of knights and dragons, witches and goblins and swords and magic to save King Arthur from a fate worse than helmet hair!",0,Yustas Game Studio,1071890
432,????????????Sequela,0,0,0,0,"Adventure, Casual, Indie, RPG","Single-player, Partial Controller Support, Steam Cloud",,"May 12, 2019","Some sequelae cannot be seen, but they've been there all the time.",0,??????,1071900
433,Foreign Frugglers,0,5,0,399,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards",,"Jun 26, 2019",The Fruggle is real! Four brave survivors need to protect mother earth from spacey invaders in this pixelated arcade style 2d shoot 'm up.,0,Ultimo Games,1071920
434,Streamer's Life,5,26,15,999,"Indie, RPG, Simulation","Single-player, Steam Achievements",,"Jul 31, 2019",RPG-Simulation game where you can create your own streamer and see whether you can overcome difficulties of being streamer or not.,0,Just Making Games,1071940
435,EscapeeZ,0,0,0,2499,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support",,"May 15, 2019",Escape your prison.,0,Barkawi Mano,1071950
436,Rayball,0,1,0,99,"Casual, Indie",Single-player,,"Jul 16, 2019","Rayball is a VR shooter arcade game. The main idea - to destroy the enemies flying at the player. The most available number of points. You have only 5 lives, do not forget about it! It will be fun!",0,LLC Rayball,1071970
437,Alice in CyberCity,0,0,0,0,"Action, Adventure, Free to Play, Indie, RPG",Single-player,,"May 27, 2019","This is a demo-like student artwork, of a three-dimensional, story driven sci-fi fantasy. A free-to-roam, what-if art project made by Ahlman Institute Game Technology and Visual Game Design students, that is set in a time when humanity is scarce.",0,Team League,1072000
438,Adventure in Russia: Road to Harvetsky,0,2,0,199,"Action, Adventure, Casual, Indie, RPG",Single-player,,"May 9, 2019","The main character is the usual average schoolboy, who can be found on the street after the 7th lesson. But it's not so simple, because he has a dream inside of his head, a dream that you have to implement!",0,NewCo Entertainment,1072030
439,Panzer Corps 2,8,700,173,3999,Strategy,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Workshop, Steam Cloud",,"Mar 19, 2020","Panzer Corps 2 is the ultimate Second World War strategy game! Enjoy the time-proven gameplay formula which has been appreciated by millions of players over the years, brought to a whole new level of refinement up to the latest technical standards.",0,Flashback Games,1072040
440,Core Of Darkness,0,0,1,0,"Action, Indie","Single-player, Steam Achievements",,"May 17, 2019","Proceed through rooms killing darkness' warriors with swords, bows, other range weapons and of course magic. Kill enemies to get more gold, look for chest to find items, weapons and spells. Fight your way to the bottom of the dungeon and defeat the darkness once and for all.",0,Storm's Foreshadow,1072050
441,Spheres: The Ancient Fuses,0,0,0,,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support",,2020,"Spheres The Ancient Fuses is a third person 3D platformer, but it is also focused on combat and puzzle solving. Inspired by many classic games we grew up playing, our goal is to make a game that we would love to play!",0,"Thiago Nascimento, Matheus Borba",1072070
442,Action Arcade Wrestling,6,51,16,1499,"Action, Indie, Sports","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Remote Play Together",,"Oct 15, 2019","Perform a BODY SLAM, knock?€?em down with a CLOTHESLINE, pull off the classic PILEDRIVER AND?€? shoot LIGHTNING BOLTS into your opponent's face?! Whatever you do?€? don?€?t find yourself looking up at the lights!",0,VICO Game Studio,1072100
443,Tartapolis,0,2,1,899,"Action, Adventure, Indie, RPG","Single-player, Full controller support",,"Feb 12, 2021","Explore a huge metropolis full of dark corners, aware technology and shady characters. Fight your way through, as you evolve your fighting skills, acquire and upgrade weapons, tune up bots and complete side quests as you discover the true face of the city!",0,Fusion Studios,1072110
444,Hentai Pussy 2,8,89,11,99,"Casual, Indie, Sports","Single-player, Steam Achievements",,"May 16, 2019",What could be more beautiful than hentai?,0,Cyber Keks,1072120
445,Rigid Chess,0,0,0,1299,"Casual, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Turn Notifications, Remote Play Together",,"May 15, 2019","A novelty futuristic, interplanetary themed Chess Set with AI module and Network capable play including many extra features detailed herein!",0,RigidBody,1072140
